INSTNM,CITY,STABBR,CreditBaseline,YearlyEstimatedSavings,ANNUAL AVG,estimatedReturnRate
Alabama A & M University,Normal,AL,0.3,12950.78,4900.0,0.116
University of Alabama at Birmingham,Birmingham,AL,0.3,13241.52,5010.0,0.118
Amridge University,Montgomery,AL,0.3,13849.41,5240.0,0.124
University of Alabama in Huntsville,Huntsville,AL,0.3,13030.07,4930.0,0.116
Alabama State University,Montgomery,AL,0.3,13822.98,5230.0,0.123
University of Alabama System Office,Tuscaloosa,AL,0.3,13479.39,5100.0,0.12
The University of Alabama,Tuscaloosa,AL,0.3,13479.39,5100.0,0.12
Central Alabama Community College,Alexander City,AL,0.3,13532.25,5120.0,0.121
Athens State University,Athens,AL,0.3,13109.37,4960.0,0.117
Auburn University at Montgomery,Montgomery,AL,0.3,13849.41,5240.0,0.124
Auburn University,Auburn,AL,0.3,13690.83,5180.0,0.122
Birmingham-Southern College,Birmingham,AL,0.3,13215.09,5000.0,0.118
Chattahoochee Valley Community College,Phenix City,AL,0.3,13373.67,5060.0,0.119
South University-Montgomery,Montgomery,AL,0.3,13822.98,5230.0,0.123
Enterprise State Community College,Enterprise,AL,0.3,14007.99,5300.0,0.125
Coastal Alabama Community College,Bay Minette,AL,0.3,13690.83,5180.0,0.122
Faulkner University,Montgomery,AL,0.3,13822.98,5230.0,0.123
Gadsden State Community College,Gadsden,AL,0.3,13267.95,5020.0,0.118
New Beginning College of Cosmetology,Albertville,AL,0.3,13162.23,4980.0,0.118
George C Wallace Community College-Dothan,Dothan,AL,0.3,13955.13,5280.0,0.125
George C Wallace State Community College-Hanceville,Hanceville,AL,0.3,13162.23,4980.0,0.118
George C Wallace State Community College-Selma,Selma,AL,0.4,13690.83,5180.0,0.143
Herzing University-Birmingham,Birmingham,AL,0.3,13373.67,5060.0,0.119
Huntingdon College,Montgomery,AL,0.3,13822.98,5230.0,0.123
Heritage Christian University,Florence,AL,0.3,13109.37,4960.0,0.117
J. F. Drake State Community and Technical College,Huntsville,AL,0.3,12950.78,4900.0,0.116
J F Ingram State Technical College,Deatsville,AL,0.3,13664.4,5170.0,0.122
Jacksonville State University,Jacksonville,AL,0.3,13241.52,5010.0,0.118
Jefferson State Community College,Birmingham,AL,0.3,13215.09,5000.0,0.118
John C Calhoun State Community College,Tanner,AL,0.3,13056.5,4940.0,0.117
Lawson State Community College,Birmingham,AL,0.3,13373.67,5060.0,0.119
University of West Alabama,Livingston,AL,0.4,13611.54,5150.0,0.142
Lurleen B Wallace Community College,Andalusia,AL,0.3,13875.84,5250.0,0.124
Marion Military Institute,Marion,AL,0.4,13690.83,5180.0,0.143
Miles College,Fairfield,AL,0.3,13320.81,5040.0,0.119
University of Mobile,Mobile,AL,0.3,13690.83,5180.0,0.122
University of Montevallo,Montevallo,AL,0.4,13373.67,5060.0,0.139
Northwest-Shoals Community College,Muscle Shoals,AL,0.3,13109.37,4960.0,0.117
University of North Alabama,Florence,AL,0.3,13109.37,4960.0,0.117
Northeast Alabama Community College,Rainsville,AL,0.4,13056.5,4940.0,0.136
Oakwood University,Huntsville,AL,0.3,13030.07,4930.0,0.116
Reid State Technical College,Evergreen,AL,0.4,13770.12,5210.0,0.143
Bishop State Community College,Mobile,AL,0.3,13928.7,5270.0,0.124
Samford University,Birmingham,AL,0.3,13294.38,5030.0,0.119
Selma University,Selma,AL,0.4,13690.83,5180.0,0.143
Shelton State Community College,Tuscaloosa,AL,0.3,13532.25,5120.0,0.121
Snead State Community College,Boaz,AL,0.3,13162.23,4980.0,0.118
University of South Alabama,Mobile,AL,0.3,13770.12,5210.0,0.123
Spring Hill College,Mobile,AL,0.3,13770.12,5210.0,0.123
Stillman College,Tuscaloosa,AL,0.3,13532.25,5120.0,0.121
Talladega College,Talladega,AL,0.3,13347.24,5050.0,0.119
H Councill Trenholm State Community College,Montgomery,AL,0.3,13743.69,5200.0,0.123
Troy University,Troy,AL,0.3,13822.98,5230.0,0.123
Tuskegee University,Tuskegee,AL,0.3,13743.69,5200.0,0.123
United States Sports Academy,Daphne,AL,0.3,14166.57,5360.0,0.126
Bevill State Community College,Jasper,AL,0.3,13320.81,5040.0,0.119
University of Alaska Anchorage,Anchorage,AK,0.4,8920.18,3380.0,0.093
Alaska Bible College,Palmer,AK,0.4,9057.62,3430.0,0.094
University of Alaska Fairbanks,Fairbanks,AK,0.4,9089.34,3440.0,0.095
University of Alaska Southeast,Juneau,AK,0.4,7033.07,2660.0,0.073
Alaska Pacific University,Anchorage,AK,0.4,8920.18,3380.0,0.093
Alaska Vocational Technical Center,Seward,AK,0.4,7379.3,2790.0,0.077
Charter College,Vancouver,WA,0.3,10439.92,3950.0,0.093
Alaska Career College,Anchorage,AK,0.4,8920.18,3380.0,0.093
University of Alaska System of Higher Education,Fairbanks,AK,0.4,9200.34,3480.0,0.096
Empire Beauty School-Tucson,Tucson,AZ,0.4,17655.35,6680.0,0.184
Carrington College-Phoenix North,Phoenix,AZ,0.3,17734.65,6710.0,0.158
Carrington College-Mesa,Mesa,AZ,0.3,17681.78,6690.0,0.158
Carrington College-Tucson,Tucson,AZ,0.4,17655.35,6680.0,0.184
Arizona Academy of Beauty,Tucson,AZ,0.4,17681.78,6690.0,0.184
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,0.3,17734.65,6710.0,0.158
Brookline College-Phoenix,Phoenix,AZ,0.3,17734.65,6710.0,0.158
